gt,node,sc0,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25,sc26,sc27,sc28,sc29,sc30,sc31,sc32,sc33,sc34,sc35,sc36,sc37,sc38,sc39,sc40,sc41,sc42,sc43,sc44,sc45
2,5,15.9849,28.2631,24.4449,21.5426,21.2253,22.1498,25.0426,25.7533,24.8683,23.4574,15.1286,0.889361,0.727419,20.3011,30.4484,31.6655,31.9173,31.4627,31.2657,30.9732,30.6014,31.5892,31.6907,19.8922,12.1993,10.9956,9.82851,9.61649,10.7225,11.4991,11.7117,11.3156,7.72557,1.14291,1.18082,1.22812,5.53187,14.4551,14.8663,14.7093,14.5831,14.2359,14.0775,13.8279,14.0451,14.3133
2,6,17.6166,31.8168,28.5775,25.81,25.1966,25.7316,28.7888,30.5711,29.9795,28.3513,18.4021,0.786656,0.686012,17.857,26.5861,28.2842,29.3007,30.0236,30.4838,30.6246,30.0706,31.6947,33.0186,21.2929,13.5076,12.2984,11.0988,10.7165,11.5054,12.5672,13.1714,12.9779,8.47437,0.713947,0.753267,0.836846,4.67239,12.574,13.207,13.4724,13.8974,13.7941,13.739,13.5071,14.0981,15.1147
2,7,18.8417,34.9339,32.0635,29.3781,28.6767,28.126,28.5953,26.8286,24.4343,21.984,14.1435,1.12292,0.893546,19.5983,27.2284,27.5923,28.0181,28.2001,28.1358,28.0431,27.9093,30.6493,33.4263,23.0852,15.3893,14.2902,13.0796,12.5253,12.658,12.3982,11.7305,10.49,6.77451,0.981041,1.0958,1.14007,4.83632,12.2741,12.5545,12.5593,12.9566,12.7218,12.8296,12.9154,14.1557,15.8979
2,8,15.379,29.0155,26.3096,24.5842,24.245,24.606,26.4633,28.9488,30.134,30.7634,21.0142,0.91745,0.788271,17.0715,25.3134,26.5895,27.0619,26.0077,24.6115,24.1307,24.6968,26.7231,29.2055,20.4894,13.6777,12.8187,12.1135,11.9961,12.6715,13.3775,14.613,15.3987,10.8655,0.642609,0.717442,0.797455,4.79875,13.0158,13.5946,13.5378,12.8166,12.0664,11.9514,12.2788,13.4228,14.7385
2,9,18.2221,33.3929,31.0637,28.3653,26.9567,25.76,26.214,26.2743,25.8032,25.0729,16.5748,0.917535,0.775341,14.1913,20.7635,21.9602,23.2871,24.5867,26.395,27.4946,28.315,30.6104,32.8684,22.9988,15.9395,15.0623,13.8255,12.836,12.6956,12.54,12.692,12.5086,8.91498,1.41211,1.54312,1.62406,4.51087,10.6344,11.2242,11.6917,12.5913,13.0777,13.5817,13.9412,15.0361,16.3268
2,10,19.8288,33.0647,33.1521,31.9471,31.5841,30.3949,29.4189,26.9919,24.0093,21.0359,13.0002,1.76402,1.42661,16.2768,25.1567,27.738,29.5074,30.2505,31.4409,31.5073,31.7199,33.3758,35.2929,22.9499,14.8395,14.3741,13.7461,13.3546,13.1967,12.1604,11.6466,10.0444,6.61212,1.44875,1.55681,1.62153,4.72654,11.5748,12.6762,13.1472,13.3136,13.5539,13.3402,13.3583,13.8398,14.9405
3,1,16.6106,28.6295,25.6681,24.125,24.5873,24.9341,26.0427,25.9135,25.1483,24.1252,16.0006,1.5673,1.3067,20.4946,28.3643,27.7085,27.4329,27.311,28.2914,29.0834,29.6115,31.2249,31.9084,20.4778,13.0681,12.2025,11.6605,11.8185,12.3452,12.3799,12.3171,11.7415,8.20671,1.49539,1.58679,1.64622,5.63714,13.56,13.5142,13.1556,13.3498,13.4139,13.6411,13.7089,14.2627,14.7667
3,2,22.5306,40.1559,37.1524,34.8441,33.7811,32.4237,32.3085,33.3937,34.1656,34.6498,23.7033,1.52096,1.35514,20.008,29.9032,30.8728,31.5413,31.3888,31.9336,32.3556,33.7576,36.7558,40.1948,25.1733,14.8534,14.0472,13.3311,12.622,12.4485,12.1978,12.5797,12.8166,9.50454,1.77966,1.87892,1.95557,5.22616,11.9468,12.334,12.2995,12.3343,12.214,12.471,12.8924,14.1606,15.3966
3,3,19.1323,33.3462,32.5626,30.5286,29.9096,29.015,29.2058,27.5921,25.2936,22.8693,14.5471,1.36231,1.12474,18.2607,25.2431,25.5732,25.5085,25.7178,26.5555,27.6058,27.9827,30.8713,33.7174,23.0661,15.5679,14.9282,14.0252,13.4575,13.5782,12.8253,12.5036,11.1578,7.2343,1.35265,1.44087,1.49573,4.86689,11.7696,11.9189,11.8823,12.0557,12.2883,12.6466,12.9432,14.1261,15.7617
3,4,19.5604,33.3423,31.3776,29.9111,30.0499,30.217,31.1524,31.4811,30.7104,29.2426,19.139,1.7979,1.40629,17.8259,27.2517,28.9744,29.9828,29.9768,31.4201,32.6522,34.0533,35.7364,36.7333,22.2776,13.3351,12.5585,12.0568,11.9941,12.3731,12.2089,12.4901,11.9289,8.17222,1.26782,1.34705,1.42006,4.67283,11.4887,12.2144,12.5498,12.6933,13.045,13.438,13.8341,14.4534,15.2574
3,5,17.1141,32.0879,29.6843,28.5739,29.4923,30.5934,33.3913,33.3778,31.6404,29.5999,18.8715,0.537815,0.435794,18.6116,28.2281,30.0666,30.4715,30.3028,29.8639,29.6409,29.0964,30.7493,32.0003,20.343,13.075,12.5764,12.1622,12.6547,13.8071,14.5056,14.3461,13.6426,8.91659,0.834627,0.84442,0.880572,4.61919,12.5333,13.0996,13.0336,13.078,12.6214,12.3657,12.12,12.5885,13.6217
3,6,17.4654,31.0607,27.8049,24.8381,23.7433,23.879,26.6673,29.0655,29.3245,28.8128,19.5344,1.16511,1.06925,15.8123,22.6176,23.9647,25.6457,27.3044,28.9015,29.4691,29.2387,30.6558,32.2155,21.6929,13.969,12.6844,11.3982,10.7257,11.3477,12.404,13.314,13.5055,9.23689,0.961245,1.00603,1.09405,4.40735,11.09,11.7216,12.5146,13.498,13.8599,14.06,13.9547,14.6323,15.6344
3,7,18.9207,34.9464,32.231,29.7199,29.0461,28.5364,28.9261,27.3097,24.9764,22.5587,14.0487,0.974945,0.812173,20.1355,27.9183,27.6473,27.7346,28.1555,28.6901,28.9762,28.7616,31.0691,33.5917,23.1031,15.3072,14.2729,13.2075,12.7311,12.8232,12.6342,12.0523,10.8901,7.07443,1.18551,1.29885,1.34107,5.13618,12.597,12.58,12.4652,12.999,13.0205,13.1924,13.2289,14.2627,15.9068
3,8,17.3354,31.1002,28.0713,25.7854,25.1318,25.4254,27.2476,29.5391,30.4953,30.9469,21.1053,0.875674,0.740192,17.1603,25.2856,26.4627,26.8909,25.9072,24.9685,25.2827,26.6421,29.3457,32.188,22.0233,14.2391,13.2051,12.3589,12.0626,12.68,13.2586,14.3083,14.8087,10.5307,1.1194,1.18359,1.26244,4.97158,12.537,13.0634,12.9826,12.3582,11.8215,12.005,12.7093,14.1025,15.4408
3,9,18.5014,33.3463,31.4323,29.2452,28.1819,27.0606,27.2576,26.8736,25.8926,24.7742,16.3328,1.1746,1.02246,14.0089,20.0758,20.9258,22.218,23.7408,25.7212,27.0689,27.841,30.2323,32.7102,23.0686,15.9295,15.0389,13.9889,13.1405,12.9276,12.6072,12.6606,12.3163,8.65523,1.48531,1.59996,1.68795,4.467,10.2005,10.703,11.3107,12.3549,13.0163,13.5345,13.9816,15.0873,16.4876
3,10,19.8539,32.5674,32.8984,31.6148,31.1701,29.9828,28.9938,26.6597,23.8571,21.3688,13.6423,1.80394,1.51579,16.0008,24.7673,27.4031,29.1214,29.821,30.7306,30.7872,30.8023,32.5106,34.6771,22.7248,14.7218,14.2416,13.6531,13.3084,13.128,12.1089,11.6523,10.2035,6.81818,1.5965,1.6892,1.7583,4.84899,11.6201,12.711,13.225,13.348,13.5879,13.2837,13.2963,13.7547,14.8996
4,1,17.3175,29.6379,26.9545,25.0936,25.0123,24.735,25.1626,24.777,24.0728,23.3056,15.5867,1.62699,1.36372,18.4344,26.2599,26.7032,27.2787,27.6508,28.9544,29.8597,30.5731,32.2036,33.1151,21.4884,13.809,12.8575,12.1965,12.0337,12.1954,11.9687,11.9278,11.3638,8.10913,1.60258,1.73886,1.78058,5.42532,12.8738,13.2345,13.2797,13.6387,13.8893,14.2221,14.4444,15.0824,15.6276
4,2,20.8717,37.2861,35.0373,33.1913,32.5275,31.7134,31.7771,32.3507,32.2723,32.008,21.6444,1.58384,1.40131,16.3299,24.0675,24.7035,25.2463,25.3132,26.4155,27.6904,29.8448,33.1554,36.6787,24.3316,15.605,14.8124,14.2685,13.6589,13.5986,13.3033,13.6045,13.4548,9.78037,1.72946,1.87038,1.91886,4.88366,10.9404,11.2866,11.2356,11.3926,11.4893,12.0025,12.7555,14.3094,15.7089
4,3,18.5579,32.9231,31.1926,28.8037,28.0743,27.2168,27.4365,25.9091,23.754,21.6182,14.0209,1.28987,1.0715,17.7372,25.2245,26.2191,26.3654,26.4236,26.9988,27.8347,28.1692,30.8231,33.3032,22.6161,15.2721,14.41,13.4453,12.905,12.8378,12.3655,11.8246,10.5818,7.03845,1.31936,1.43402,1.47274,4.89422,12.0584,12.5002,12.3664,12.5628,12.6503,12.805,13.0622,14.119,15.553
4,4,19.086,31.7103,29.737,28.461,29.1209,30.105,31.9946,32.9881,32.3261,30.7619,19.895,1.54807,1.17267,17.1899,25.9863,26.9627,27.2544,26.8528,28.0196,29.5726,31.4901,33.848,35.4784,21.883,13.2042,12.4008,12.0154,12.2584,13.0207,13.1365,13.6444,13.0604,8.94443,1.46582,1.54769,1.61046,4.82665,11.469,11.9343,11.946,11.86,12.1597,12.6403,13.3301,14.2387,15.1433
4,5,17.6008,32.2076,28.9384,26.6504,26.3448,26.0624,27.0254,26.1175,24.4932,22.9746,14.8662,0.53135,0.399739,18.4804,28.1466,29.8599,30.2984,30.0891,30.0178,30.3344,30.5254,32.3345,33.6157,21.5827,13.6638,12.6378,11.7461,11.4865,11.7629,11.8097,11.4081,10.7354,7.14286,0.745451,0.781999,0.790818,4.74304,13.049,13.6297,13.5802,13.6302,13.3863,13.4249,13.5791,14.2528,15.1533
4,6,16.687,30.8628,28.9687,26.91,26.0504,25.8141,27.3744,28.6117,28.342,27.7015,18.8367,1.06165,1.01155,19.2732,28.7837,30.3188,31.048,30.866,30.4622,30.1384,29.647,30.4037,30.6996,19.9431,13.3356,12.6535,11.8015,11.2602,11.5051,11.9903,12.4792,12.487,8.59909,0.95868,0.987791,1.03043,5.10778,13.4591,14.013,14.1246,14.0212,13.6834,13.5325,13.2905,13.4778,13.9225
4,7,17.4604,32.1063,29.5262,27.3705,27.3026,27.3922,28.6981,27.7509,25.9611,24.0392,15.2837,1.0516,0.876001,19.7625,28.0732,29.1452,29.4485,29.0362,28.0705,27.3647,26.6902,29.0833,31.31,21.5885,14.5428,13.5922,12.6586,12.508,12.9923,13.1526,12.7909,11.9026,7.98452,1.4064,1.54042,1.58452,5.38724,13.2103,13.7066,13.5749,13.6188,13.0233,12.8002,12.6182,13.6308,15.2197
4,8,19.3422,34.3733,30.6621,27.307,25.6149,24.9298,25.3958,26.1301,26.0526,26.1892,18.1152,0.461282,0.391099,17.0374,25.2811,26.824,27.6662,27.5789,27.803,29.0898,30.74,33.5659,36.1142,23.6235,14.6409,13.4818,12.3599,11.6264,11.657,11.7027,12.0736,11.9723,8.59197,1.18489,1.30359,1.36031,4.86452,12.1461,12.6722,12.7596,12.6204,12.4825,12.8706,13.6407,15.0312,16.224
4,9,17.8679,32.3171,30.4599,28.6504,28.004,27.6905,28.6693,28.8832,28.1103,27.111,17.8951,1.21035,1.0757,14.5649,20.1539,20.4575,21.4574,23.1332,25.4679,27.0723,27.9685,30.225,32.2482,22.4444,15.5682,14.7747,13.9178,13.3201,13.5181,13.5146,13.7924,13.5499,9.63522,1.56262,1.71807,1.77505,4.5348,10.0614,10.3023,10.7068,11.9203,12.7317,13.3848,13.8421,14.8509,16.0482
4,10,18.8056,31.6595,32.2546,31.724,32.1539,31.7615,31.5629,29.0871,25.7712,22.6812,14.2684,1.72751,1.46289,16.5841,25.5556,28.296,29.8597,30.365,30.8167,30.4771,29.768,31.1189,32.8348,21.4805,14.1042,13.7756,13.4764,13.5691,13.7871,13.0691,12.4998,10.8529,7.07066,1.52792,1.68479,1.75878,4.96637,11.9955,13.1162,13.5792,13.6953,13.7233,13.2984,12.9619,13.243,14.3471
5,1,14.9596,27.0896,25.4632,24.347,24.8129,24.4921,24.9745,23.4433,21.9098,20.5207,13.447,1.17011,0.942895,17.6715,24.8427,25.2572,25.0801,25.0029,25.1691,25.2931,24.7463,26.3593,27.1695,18.8353,13.4926,12.9244,12.36,12.5324,12.7413,12.5558,11.8408,11.0063,7.37991,1.07533,1.1466,1.18509,5.05084,12.9911,13.2546,12.924,13.1984,12.9584,12.9035,12.6474,13.1152,14.1103
5,2,21.9669,39.2413,36.5198,34.3838,33.7082,32.6606,32.807,33.2505,33.1502,32.8229,22.0068,1.58798,1.3749,18.8103,27.5938,28.1462,28.3853,28.0549,28.7555,29.4638,31.1907,34.5343,38.2787,24.6455,15.0768,14.2096,13.6335,13.005,13.0053,12.6963,12.9004,12.783,9.39171,1.8333,1.94519,2.00835,5.15948,11.5852,11.9015,11.633,11.6367,11.5234,11.9237,12.384,13.7722,15.1866
5,3,18.2199,33.5452,31.2009,28.7984,28.6268,28.0734,29.2184,27.8939,25.7831,23.4124,14.7983,1.26773,1.02604,19.6791,27.8207,28.8631,28.725,28.7942,28.9803,28.9793,28.2134,30.6382,32.642,21.6944,14.6526,13.8112,12.7966,12.5882,12.8099,12.7728,12.1663,11.1244,7.29478,1.23757,1.32621,1.37474,5.09273,12.8382,13.2854,12.9613,13.3598,13.0706,12.8591,12.5601,13.3095,14.8106
5,4,19.3198,32.0338,30.0742,28.772,29.2183,29.4474,30.6665,31.2779,30.806,29.4895,19.343,2.10883,1.64073,18.4431,27.2742,28.0615,28.4558,28.4179,30.0182,31.332,32.7697,34.7424,35.9777,22.0969,13.2905,12.4685,11.9217,11.8838,12.3408,12.1349,12.5106,12.023,8.29995,1.35313,1.38638,1.42734,4.74734,11.5905,12.0675,12.1195,12.2656,12.6073,13.0073,13.3894,14.0648,14.9272
5,5,14.6096,25.0665,20.6102,17.3369,18.274,20.5425,23.7047,24.3142,23.7857,23.0481,15.2361,0.779382,0.626536,20.8762,31.1289,32.0981,32.1104,31.421,30.9985,30.5699,30.0076,30.7168,30.1716,18.4661,10.7693,9.31616,7.99715,8.58338,10.2898,11.1263,11.3585,11.2752,7.94171,1.20495,1.22617,1.26874,5.89206,15.3416,15.6941,15.4035,15.1699,14.7467,14.486,14.1078,14.1051,13.9701
5,6,17.7546,31.6162,27.9259,24.3403,22.7012,22.5779,25.4419,28.8239,30.1621,30.7122,21.3943,1.0216,0.914563,23.0964,33.2027,32.6116,31.8401,30.612,30.4326,30.3877,30.0285,30.7661,31.9779,21.2157,13.4074,12.1058,10.7406,9.91846,10.4237,11.4645,12.6787,13.3503,9.49252,0.99405,1.03449,1.12879,5.8215,14.9895,14.9132,14.3507,13.8744,13.692,13.6913,13.4394,13.7422,14.6269
5,7,18.9674,34.1039,30.1951,26.8458,25.6255,24.7387,25.0845,24.172,22.8155,21.3916,13.8199,1.15285,0.928981,16.6435,22.8358,23.2086,24.4316,25.7155,27.4275,28.6256,29.4758,32.251,34.958,24.0865,15.7219,14.249,12.8367,11.9808,11.8811,11.6716,11.3742,10.6424,7.27447,1.24259,1.36236,1.39496,4.60508,11.0094,11.353,11.7879,12.7601,13.1922,13.767,14.2574,15.606,17.2157
5,8,17.0991,31.6801,29.6056,27.9116,27.4662,27.3347,28.2873,28.6445,27.9539,27.1047,18.2247,0.863357,0.743432,15.6667,22.8128,24.128,24.5308,24.2875,24.1327,25.3537,26.4378,29.2052,31.3877,21.6723,14.7075,14.1359,13.4463,13.2369,13.6675,13.8805,14.1104,13.8087,9.38816,0.886561,0.948049,1.01851,4.33409,11.209,11.677,11.5818,11.4845,11.3299,11.9219,12.6521,13.9592,15.2605
